dataset,method,n_clusters,n_classes,largest_cluster_frac,cluster_collapse,cluster_degenerate,unique_mapped_classes,mapping_collapse,unassigned_clusters,train_majority_baseline,majority_baseline,gt_accuracy,pseudo_accuracy,lse_ratio,lse_lift,beats_majority,matches_majority,gt_beats_majority,nmi_train,failed,error
eucalyptus,kmeans,5.0,5.0,0.884354,False,False,5.0,False,0.0,0.290816,0.290541,0.621622,0.391892,0.630435,0.306122,True,False,True,0.174747,,
eucalyptus,dbscan,5.0,5.0,0.884354,False,False,5.0,False,0.0,0.290816,0.290541,0.621622,0.391892,0.630435,0.306122,True,False,True,0.174747,,
eucalyptus,agg,5.0,5.0,0.831633,False,False,5.0,False,0.0,0.290816,0.290541,0.621622,0.378378,0.608696,0.265306,True,False,True,0.128134,,
eucalyptus,gmm,5.0,5.0,0.991497,False,True,5.0,False,0.0,0.290816,0.290541,0.621622,0.290541,0.467391,0.0,False,True,True,0.014646,,
eucalyptus,autoenc,5.0,5.0,0.307823,False,False,5.0,False,0.0,0.290816,0.290541,0.621622,0.371622,0.597826,0.244898,True,False,True,0.071331,,
eucalyptus,dictlearn,5.0,5.0,0.797619,False,False,5.0,False,0.0,0.290816,0.290541,0.621622,0.25,0.402174,-0.122449,False,False,True,0.038118,,
fri_c0_250_50,kmeans,2.0,2.0,0.605,False,False,2.0,False,0.0,0.53,0.54,0.82,0.58,0.707317,0.142857,True,False,True,5e-06,,
fri_c0_250_50,dbscan,2.0,2.0,0.605,False,False,2.0,False,0.0,0.53,0.54,0.82,0.58,0.707317,0.142857,True,False,True,5e-06,,
fri_c0_250_50,agg,2.0,2.0,0.625,False,False,2.0,False,0.0,0.53,0.54,0.82,0.58,0.707317,0.142857,True,False,True,0.007141,,
fri_c0_250_50,gmm,2.0,2.0,0.505,False,False,2.0,False,0.0,0.53,0.54,0.82,0.46,0.560976,-0.285714,False,False,True,6.4e-05,,
